user_id,datetime,query_text,ticker,company_current_price,money,best_model,MAE,RMSE,MAPE,passive_profit_estimate,aggressive_profit_estimate
309679192,2025-10-31 09:23:29,cisco,N/A,N/A,0,N/A,,,,,
309679192,2025-10-31 09:23:58,CSCO 300,CSCO,72.91,300,SARIMA,1.5243,1.9522,2.16,2.48,9.31
309679192,2025-10-31 09:35:40,netflix,N/A,N/A,0,N/A,,,,,
309679192,2025-10-31 09:35:56,NFLX 500,NFLX,1089,500,RandomForest,30.9635,40.8615,2.58,25.25,15.89
309679192,2025-10-31 09:38:42,amazon,N/A,N/A,0,N/A,,,,,
309679192,2025-10-31 09:38:49,AMZN 600,AMZN,222.86,600,RandomForest,3.0862,4.2644,1.38,17.58,9.63
309679192,2025-10-31 09:39:40,Gp 400,GP,2.641,400,LSTM,0.4376,0.5178,12.26,11.32,0
309679192,2025-10-31 09:40:38,Adobe 1000,N/A,N/A,1000,N/A,,,,,
309679192,2025-10-31 09:40:48,ADBE,ADBE,339.24,1000,RandomForest,7.6689,10.0134,2.16,34.55,41.3
309679192,2025-10-31 09:42:47,NVidia 500,N/A,N/A,500,N/A,,,,,
309679192,2025-10-31 09:42:57,NVDA 1100,NVDA,202.89,1100,SARIMA,21.7093,23.6659,9.52,19.02,42.28
309679192,2025-10-31 10:06:03,NMRK,NMRK,18.07,0,LSTM,1.6413,2.0575,9.18,0,0
309679192,2025-10-31 10:06:55,PLCE,PLCE,7.7,0,LSTM,0.6441,0.736,12.61,0,0
309679192,2025-10-31 10:07:33,CRIS 800,CRIS,1.49,800,SARIMA,0.2006,0.2527,10.38,0,94.47
309679192,2025-10-31 10:07:50,intel 500,N/A,N/A,500,N/A,,,,,
309679192,2025-10-31 10:07:57,INTC,INTC,40.16,500,RandomForest,0.9967,1.4462,3.39,36.01,7.16
309679192,2025-10-31 10:08:16,CPHC 100,CPHC,15.855,100,RandomForest,0.5031,0.6047,2.99,0.88,0.4
309679192,2025-10-31 10:08:41,CYBR 300,CYBR,516.47,300,SARIMA,35.767,44.9639,4.43,5,8.43
309679192,2025-10-31 10:09:02,MDGL 500,MDGL,427.52,500,RandomForest,59.369,75.6408,14.13,6.73,33.2
309679192,2025-10-31 10:09:34,PI 600,PI,206.08,600,RandomForest,5.2986,7.9937,3.12,33.13,62.66
309679192,2025-10-31 10:09:52,NVMI 700,NVMI,344,700,RandomForest,25.782,35.4669,8.33,6.79,4.38
309679192,2025-10-31 10:10:21,XOMA 800,XOMA,33.22,800,LSTM,2.6173,3.367,7.57,85.48,0
309679192,2025-10-31 10:15:52,CCNE 1000,CCNE,24.2,1000,RandomForest,0.4132,0.5425,1.69,0,7.57
309679192,2025-10-31 10:16:08,meta 800,META,666.47,800,SARIMA,21.8308,27.6625,2.1,12.91,22.39
309679192,2025-10-31 10:37:19,IRBT,IRBT,3.08,0,LSTM,0.2815,0.4078,7.05,0,0
